Station Id,Station Name,Centre (Location),Business Domain,Total Project,Tags,Description,Project Domain,Title
8656,Jalte Diye Foundation,Jaipur,Health Care,1,"AnyA7,AnyAD,A7,AD","Description: Development of cognitive thinking-based AI modelsSkill sets: Abstract thinking, Generative AI modelingExpected learning: Effective learning media for social educationSpecific courses required for project execution: Cognitive neuroscience/AI/ML modeling",Software Development,Title: Cognitive Agentic AI System for Social Education
8656,Jalte Diye Foundation,Jaipur,Health Care,1,"AnyA3,AnyAB,AnyAA,AnyAC,AnyA8,AnyA4,A8,A3,AA,AC,AB,A4","Description: Design and development of wearables to track and improve mental healthSkill sets: CAD modeling, Engineering drawingExpected learning: Constraints based designingSpecific courses required for project execution: Engineering drawing, CAD",Electronics,Title: Smart Wearables for Mental Health
8831,Jatayu Healthcare Technologies,Mumbai,Health Care,2,"AnyA3,AnyA7,AnyA8,AnyAA,A7,A3,A8,AA,AnyA3,AnyA7,AnyA8,AnyAA,A7,AA,A8,A3","Title: Data ScienceDescription:Skill sets: PythonExpected learning: CodingSpecific courses required for project execution: Python,Title: AI EngineeringDescription:Skill sets: CloudExpected learning: CodingSpecific courses required for project execution: Python","Data Science,AI Engineer","Data Science,AI Engineering"
8843,Kalpataru Projects - Bagdogra (Airport Project),Bagdogra,Infrastructure,1,"AnyA1,AnyA3,AnyA4,AnyA8,AnyAA,AnyAB,A1,A3,A4,A8,AA,AB",-,Infrastructure,Details awaited
8838,Kalpataru Projects - Bengaluru,Bengaluru,Infrastructure,1,"AnyA1,A1",-,Infrastructure,Details awaited
8840,Kalpataru Projects - Hyderabad,Hyderabad,Infrastructure,1,"AnyA1,A1",-,Infrastructure,Details awaited
8841,Kalpataru Projects - Mumbai,Mumbai,Infrastructure,1,"AnyA1,AnyA3,AnyA4,AnyA8,AnyAA,AnyAB,A1,A3,A4,A8,AA,AB",-,Infrastructure,Details awaited
8839,Kalpataru Projects - NCR,New Delhi,Infrastructure,1,"AnyA1,A1",-,Infrastructure,Details awaited
8554,Kelachandra Aquatic Machines,Kottayam,CSIS/IT,3,"AnyA3,AnyA4,AnyA7,AnyA8,AnyAA,AnyAB,A3,A7,A4,A8,AA,AB,AnyA3,AnyA4,AnyA7,AnyA8,AnyAA,AnyAB,A4,A3,A8,A7,AA,AB,AnyA3,AnyA4,AnyA7,AnyA8,AnyAA,AnyAB,A4,A3,A7,AA,A8,AB","	Description: Conventional steering system on a boat œnsists of a mechaniœl or hydraulic actuator, connected to a helm through a mechaniœl cable or hydraulic hoses. When the steeûng wheel œnnected to the helm is manually turned, the actuator moves and rotates the engine. The aim of this project is to replace this system with a DE or Servo motor driven achJator œntrolled by an electronic helm unit. The main advantage of this system would be that the helm unit can then accept electronic control from a navigation computer in addition to manual control.Skill sels: Knowledge of 3D CAD Software, Electronic DesignExpected Learning: The student will leam how to design, simulate and manufacture a product from conœpt to actual working.&nbsp;Specific courses required for project executîon: CAD, Basic Electrical and Mechanical Design  ,	Descripfion: The aim of this project is to develop a Navigation Controller which interfaces with our existing electûc drive system to ultimately' have the œpability to œmpletely navigate a boat along a programmed path. The initial steps would be to introduce features such as position holding without the use of a mechaniœl anchor, basic boat steedng control and movement along a programmed path. Ultimately the aim would be to introduce additional hardware and software to have autonomous drivingSkill sets: C++ programming, Knowledge of control systems andExpected learning: Development of soflware and hardware to implement a practical product.Specific courses required for project execution: C++ Programming, Basic Electrical Design,Description: The TC60 Aquatic Trash Collector is an existing product of the company which is an operator driven electric boat designed to collect trash and other floating material from rivers and waterways. The aim of this project is to undertake preliminary studies and to develop software and hardware modules that will eventually combine to implement an autonomous control system for unmanned operation of the aquatic trash colledor.Skill seB: Knowledge of Machine Learning, C++ Programming, Electronic and Mechanical DesignExpected learning: Practical application of Autonomous control and Machine LearningSpecific courses required for project execution: Knowledge of ML/Al Systems","Product Development,Software and Product Development","Development of an Electronic Steering System for Boats,Development of a Navigation Controller for Boats,Development of an Autonomous Drive System for Electric Aguatic Trash Collector"
4272,Kotak Education Foundation,Mumbai,Finance and Mgmt,4,"Any,Any,Any,Any","Description: Creating dashboards, infographics Designing videos, posters, handouts, and PPTs Compiling booklets, Developing games, illustrations, tech toolsSkill sets: Creativity, Basic AI toolsExpected learning: Improved Understanding Through Visuals, Language and Communication Development,description: Assisting teachers, Planning the next years program, Creating contentSkill sets: Using basic AI tools, Good communication SkillsExpected learning: Basic idea of planning and designing a program.,Description: Supporting Skilling team for training and content development, data related work,Skill sets: Excel and proficiency in some basic AI toolsExpected learning: The program design and application of AI tools,Description: School or College Visit for KJS Promotion Followup and CO-ordination with Students on Intake Data UpdationSkill sets: Communications Skills, Net working skills, Efficiency in data handling.Expected learning: Data Handling, Intake and Onboarding process","CCT TEAM,CEFR,UNNATI,SCHOLARSHIPS","Title: Centralised Content team,Title: Communicative English Future Readiness,Title: Skilling,Title: Kotak Junior Scholarships"
8633,Krishavaa Lifesciences Pvt.Ltd,Hyderabad,Infrastructure,1,"AnyA5,AnyAB,AnyB1,AnyA7,AnyA4,A5,A7,AB,B1,A4","Title:Next-Generation Bioactive Formulations for Skin Disease Management, Wound Healing, andCosmeceutical ApplicationsDescription:Developing prophylactic and therapeutic benefit for skin diseases (eczema, acne, dermatitis, psoriasis,dry skin, dandruff, scaly patches and melasma), wound healing, Lab-scale formulation of cosmetic care,bioactive soaps &amp; coal tar medicated soap.Skill sets: Formulation development (topical, semisolid, and soap-based systems) Analytical and characterization techniques Stability studies and evaluation of dermatological formulations Documentation and regulatory compliance Website designingExpected learning: Advanced formulation development techniques Website Designing for product Applying for funding through Government websites Scientific communication and report writing Preparation of brochure for CDSCO approval Maintenance of technical and regulatory documentsSpecific courses required for project execution: A5- B. Pharma A7- B.E. Computer Science AB- B.E. ManufacturingB1- M.Sc. Biological Sciences","Economics,Finance,Software Development","Next-Generation Bioactive Formulations for Skin Disease Management, Wound Healing, and Cosmeceutical Applications"
8822,KRITI,Pilani,Finance and Mgmt,3,"Any,Any,Any","Interns will develop a structured, GIS-linked database capturing village-level information including localcrafts, skills, infrastructure, and livelihood gaps. This will lead to the creation of a live “Village IntelligenceDashboard” to support targeted interventions.,Interns will design and execute a pilot bootcamp for school students in and around Pilani, focusing onproblem identification, design thinking, and prototyping. The outcome will be a replicable bootcampframework and documented student innovations.,Interns will define key performance indicators and build a live dashboard tracking KRITI’s projects, mentornetwork, startup engagement, and impact metrics to support data-driven decision making.","Rural Intelligence Mapping,Social Impact and Education,Dashboard Development","Rural Intelligence Mapping (Jhunjhunu District),Young Social Impact Bootcamp (School Students),KRITI Impact Dashboard Development"
6901,Kuppismart solutions Pvt Ltd - Non Tech,Hyderabad,CSIS/IT,1,"AnyA4,AnyAA,AnyAJ,AnyA3,AnyA8,AnyAB,AJ,AA,A4,A3,A8,AB","Description: Focused on smart water management for STPs and industrial use. This project involves real-time monitoring of water quality parameters like pH, Dissolved Oxygen (DO), Chlorine, and Turbidity, combined with automated dosing systems to ensure sustainable water usage.Skill sets:BE Environmental &amp; Sustainability Interns, Hardware Interns (Sensors &amp; Actuators), Marketing Interns (B2B outreach)Expected learning:Understanding water chemistry and treatment protocols, designing industrial-grade sensor housings, and developing B2B GTM strategies for industrial utility sectors.Specific courses required for project execution: Environmental Engineering, Water Resource","Environmental Sustainability,Mechanical",Title:Kuppismart Water Tracker
6918,Kuppismart solutions Pvt Ltd - Tech,Hyderabad,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description: Developing and deploying an AI-driven monitoring system for poultry farms. The project involves using bio-acoustic sensors for early disease detection and IoT sensors for environmental tracking (Ammonia, Temp, Humidity) to reduce bird mortality and improve FCR.Skill sets: ML Interns (Audio/Speech processing), App Developers (Flutter/Node.js), Hardware Interns (IoT integration &amp; PCB troubleshootingExpected learning: Real-world deployment of ML models on the edge, handling high-concurrency IoT data pipelines, and understanding large-scale poultry farm automation.Specific courses required for project execution: Machine Learning, Embedded Systems, Signal Processing, Mobile Application Development",Mobile App Development,Title: Livestockify
8752,Kustodian.life,Bengaluru,CSIS/IT,3,"AnyA7,A7,Any,Any","Description: Developing modules to automate the fetching and categorization offinancial data (EPF, NPS, and private investments) to provide users with a real-timenet-worth view.Skill sets: Python, Node.js, REST APIs, Database Management (SQL/NoSQL).Expected learning: Building scalable fintech backend architecture and handlingsensitive financial data.Specific courses: Computer Programming, Data Structures, Database Systems.,Description: Implementing technical and non-technical strategies to ensureKustodian is the ""cited authority"" in AI-driven search engines (like Perplexity,Gemini, and Search GPT). Technical tasks include entity-based content structuringand schema optimization. Non-technical tasks include building ""Brand Authority""and ""EEAT"" (Experience, Expertise, Authoritativeness, and Trustworthiness)through high-value personal finance research.Skill sets: Technical SEO, LLM-readability optimization, Content Engineering, BrandStrategy.Expected learning: The shift from traditional SEO to AI-native discovery and theimplementation of technical schema for financial services.Specific courses: Technical Report Writing, Principles of Management, ComputerProgramming (for technical SEO).,Description: Developing a strategic roadmap to identify and resolve ""stuck wealth""(unclaimed insurance, dormant bank accounts, IEPF, and lost EPF). Students willdesign experiments to test ""resolution-as-a-service"" models, mapping the legal andoperational hurdles for each asset class to find the most efficient path to recoveryfor users.Skill sets: Business Strategy, Operational Mapping, Secondary Research,Experimental Design.Expected learning: Deep understanding of the Indian financial regulatory ecosystemand the 0-to-1 process of solving a multi-billion dollar ""unclaimed wealth"" problem.Specific courses: Economics, Principles of Management, General Awareness","Backend Development,Marketing,Founders Office","Financial Data Automation & API Integration,Generative Engine Optimization (GEO) & AI-First Content Strategy,Strategy & Experimental Design for Unclaimed Asset Recovery"
6656,KVGAI Tech Pvt. Ltd,Lucknow,CSIS/IT,5,"AnyA3,AnyA7,AnyA8,AnyAA,A3,AA,A7,A8,AnyA3,AnyA7,AnyA8,AnyAA,A3,AA,A7,A8,AnyA3,AnyA7,AnyA8,AnyAA,A3,AA,A7,A8,AnyA3,AnyAA,AnyA7,AnyA8,A3,AA,A7,A8,AnyA3,AnyA7,AnyA8,AnyAA,A3,AA,A7,A8","Description: Develop and enhance the Smart Finder platform (smart-qna.com), an AI-powered intelligent search and question-answering system. Students will work onbuilding a robust Next.js frontend with server-side rendering and incremental staticregeneration, a Python FastAPI backend delivering high-performance asynchronousRESTful APIs, and LLM-powered features including RAG (Retrieval-AugmentedGeneration) pipelines, semantic search, prompt engineering, and fine-tuning usingLoRA techniques. The system will leverage containerized microservices orchestratedvia Docker and Kubernetes, incorporate CI/CD pipelines for automated testing anddeployment, and implement industry best practices such as Redis caching andcentralized logging/monitoring to ensure scalability, security, and optimal userexperience.Skill sets: (i) Proficiency in JavaScript, React.js, Next.js, and Python.(ii) Understanding of LLMs, backend development, CI/CD pipelines, Docker,Kubernetes, and API architecture.Expected learning: Creation of a fully functional AI-powered web application withscalable backend, LLM integration, and production-grade API architecture.Specific courses required for project execution: Web Development, AI/NLP or relatedcoursework,Description: This project involves building and enhancing the Zernyx Hub platform, anintegrated technology marketplace for IP licensing, innovation scouting, andtechnology commercialization. Students will develop features for technologyintelligence, market readiness assessment, TRL (Technology Readiness Level)calculation, and automated patent and IP intelligence including patent search, prior artanalysis, and patent landscape mapping. The platform connects technology discovery,scientific validation, and commercialization readiness, enabling organizations toevaluate feasibility, strengthen IP positioning, and prepare innovations for confidentmarket adoption.Skill sets: (i) Proficiency in modern web development (React/Next.js, Node.js, Python).(ii) Understanding of database design, REST APIs, platform architecture, and NLP/textmining techniques.,Description: This project focuses on developing the Zernyx Labs platform that supportsthe journey from research and validation to product development andcommercialization. Students will build tools for scientific validation workflows, pilotprogram management, experimental data analysis, and structured go/no-go decisionframeworks. The platform serves pharmaceutical, biotechnology, cosmeceutical, andnutraceutical domains, focusing on execution readiness and scalable outcomes acrosslife sciences. Students will also work on data-driven research pipelines and visualizationdashboards for scientific evaluation.Skill sets: (i) Strong Python programming and data analysis skills.(ii) Experience with scientific computing libraries, workflow automation, and datavisualization.Expected learning: Development of a scientific validation platform with structuredresearch workflows, data-driven decision support, and life sciences domain expertise.Specific courses required for project execution: Python Programming, Data Science orrelated coursework,Description: This project involves developing the Civic Info platform that enablescitizens to discover their civic landscape by accessing local, state, and federal civicinformation effortlessly. Students will work on building data aggregation pipelines fromgovernment APIs and public datasets, developing an intuitive search and navigationinterface, implementing geolocation-based civic information delivery, and ensuringaccessibility compliance (ADA/WCAG). The platform aims to make government datatransparent and easily accessible to all citizens.Skill sets: (i) Proficiency in full-stack web development (React/Next.js, Python/Node.js).(ii) Understanding of API integration, data aggregation, and geolocation services.Expected learning: Creation of a civic technology platform that aggregates and presentsgovernment data in an accessible, user-friendly manner.Specific courses required for project execution: Web Development, API Developmentor related coursework,Description: This project focuses on developing BITS TEC, a dedicated eventmanagement application for BITS Pilani. The app will enable event creation, discovery,RSVP management, real-time notifications, and post-event feedback collection.Students will build mobile-responsive interfaces, implement real-time features usingWebSockets, integrate calendar and notification systems, and develop an admindashboard for event organizers. The project emphasizes user experience, performanceoptimization, and scalable architecture to handle campus-wide events.Skill sets: (i) Proficiency in mobile/web app development (React Native or Flutter,React.js).(ii) Understanding of real-time systems, push notifications, and backend development.Expected learning: Development of a fully functional event management app with real-time features and scalable architecture.Specific courses required for project execution: Mobile App Development, WebDevelopment or related coursework",Computer Science,"Title: Smart Finder - AI-Powered Intelligent Search &amp; Q&amp;A Platform,Title: Zernyx Hub - Technology Marketplace &amp; IP Commercialization Platform,Title: Zernyx Labs - R&amp;D Validation &amp; Scientific Evaluation Platform,Title: Civic Info - US Government Civic Data Platform,Title: BITS TEC - Campus Event Management Application"
8847,Kylas Technologies,Pune,CSIS/IT,2,"AnyA7,A7,AnyA7,A7","Description: Build a backend service that queries multiple lead-generation APIs,compares data pricing in real-time, and selects the most cost-effective source tofulfill CRM data requests.Skill sets: Python, REST API Integration, JSON handling, and basic SQL/NoSQLExpected learning: Mastery of API orchestration, dynamic decision-making logic,and building scalable backend services for agentic workflows.Specific courses required for project execution:&nbsp;Data Structures &amp;amp; Algorithms,Database Management Systems,Description: Develop a tool that navigates public websites to extract and verifyfirmographic data (e.g., revenue, headcount, industry) to enrich existing CRMprofiles using LLMs and scraping tools.Skill sets:Python, Prompt Engineering, and Data Cleaning.Expected learning: Advanced techniques in web automation, parsing unstructureddata into structured formats, and data validation using AI.Specific courses required for project execution: computer programming, ObjectOriented Programming",Software Development,"Intelligent API Cost-Optimization Engine,Automated Public Data Scraping &amp; Enrichment"
8754,KYRO Technologies Inc.,Chennai,CSIS/IT,1,"AnyA7,AnyAD,AnyB4,AnyAC,AD,A7,B4,AC","Description: Construction and Storm Contractors use KYRO for getting paid within 24 hours by connecting with the institutional lenders once their invoices are approved by their respective customers.For the lender to decide if they should offer the line of credit by buying the invoice, they need a confidence index that factors in essential criteria such as the credit rating and history of the debtor who approved the invoice, operational excellence of the contractors etc.,. KYRO needs a Math based model to be built with all the essential factors covered to help the lender decide if the invoice should be bought and the line of credit should be offered. An algorithm will be the output that could be used by KYRO’s AI AGENT for enabling the lender to make the right decision.Skill sets: Applied Mathematics, Data Structures and Algorithms, Artificial Intelligence and Machine LearningExpected learning: Students are expected to learn the depth of net working capital workflow and its significance for Construction and Storm contractors in running their business without any disruption. They learn how KYRO leverages advanced tech such as AI and ML for building a generic solution in this niche, several billion dollars market.Specific courses required for project execution: None",Software Development,Title: KYRO Confidence Index
4806,"L&T Heavy Engineering, IC",Surat,Mechanical,3,"AnyA4,AnyAB,A4,AB,AnyA4,AnyAB,A4,AB,AnyA4,AnyAB,A4,AB","Description: Design of AMR navigation system that combines LiDAR and vision sensor datafor robust path planning and obstacle avoidance.Skill sets: Robotics fundamentals, Sensor integration, Path planning, CVExpected learning: Industrial AMR use cases, Path planning, integration of robotics andsensorsSpecific courses required for project execution: Understanding of Lidar, robotics, CV, controlsystem,-,Description: Development of Autonomous drone system for indoor/outdoor applications andcapable of capturing visual data and performing dimensional inspection of components orsections.Skill sets: UAV dynamics and control, autonomous navigation path planning with obstacleavoidance, CV, photogrammetry.Expected learning: Autonomous flight control and navigation, obstacle avoidance,Dimensional measurement using CV.Specific courses required for project execution: UAV navigation basics, sensors, Python, CV",Mechanical,"Title: AMR Path Planning Using LiDAR and Vision Sensor Fusion,Details awaited ,Title: Autonomous Drone – Visual Dimension Inspection"
4806,"L&T Heavy Engineering, IC",Surat,Mechanical,1,"AnyA7,A7",-,Software Development,-
8504,Lailen Consulting Pvt. Ltd,Aizawl,CSIS/IT,1,"AnyA7,A7","Description: NE Service Hub is a regional employment and service marketplace platform beingdeveloped to connect job seekers, freelancers, service providers, employers, and institutions acrossthe North Eastern states of India.Skill sets: Adaptability, Team-work, Basic Database KnowledgeExpected learning: Understanding end-to-end development of a real-world job portal system,Practical exposure to database design and data normalization, Implementation of authentication anduser role management systemsSpecific courses required for project execution: Computer Programming, Discrete Structures","Programming,Programming and Scripting","Title: NE Service Hub under Mizoram Youth Commission, Govt. of Mizoram."
8504,Lailen Consulting Pvt. Ltd,Aizawl,CSIS/IT,1,"AnyA7,A7","Description: The Integrated Data Collection &amp; Reporting System is a centralized digital platformdesigned to streamline data gathering, validation, aggregation, and reporting across departments andfield units.Skill sets: Adaptability, Team-work, Basic Database KnowledgeExpected learning: Generating automated reports and summary dashboards, Exposure to real-world data governance and reporting standards, Experience in debugging, testing, and optimizingdatabase-driven systemsSpecific courses required for project execution: Computer Programming, Discrete Structures","Programming,Programming and Scripting","Title: Integrated Data Collection & Reporting System under AH&Vety Dept., Govt of Mizoram"
4469,Laurus Labs,Anakapalle,Health Care,3,"AnyA5,A5,AnyA5,A5,AnyA5,A5","Description: Choose a commercial product and analyze its yield trend. Assess each stage ofthe manufacturing process and suggest methods to enhance the yield by at least 1 to 2% fromthe current trend.Skill sets: Yield improvement analysisExpected learning: Analysis of production lossSpecific courses required for project execution: B. Pharma,the manufacturing process and propose strategies to minimize the cycle time by leveragingthe available resources.Skill sets: Process time reductionExpected learning: Process time gaps minimizationSpecific courses required for project execution: B. Pharma,Description: To create a concept or flowchart for the application development on effectivemanagement of production accessories.Skill sets: Concept development on management for production accessoriesExpected learning: Inventory management of production accessoriesSpecific courses required for project execution: B. Pharma",Manufacturing,"Title: Product yield improvement,Title: Cycle Time reduction,Title: Inventory management for production accessories"
4273,Lenest,Mumbai,Health Care,5,"AnyA5,AnyA7,AnyB3,A5,A7,B3,AnyA5,AnyA7,AnyB3,A5,A7,B3,AnyA5,AnyA7,AnyB3,A5,A7,B3,AnyA5,AnyA7,AnyB3,A5,A7,B3,AnyA5,AnyA7,AnyB3,A5,A7,B3","-,-Survey analytics,Strategic management,Finance in health care ,-",Yet to be finalized,"Health care ,Marketing,Strategic management,Corporatization of healthcare ,Phone messaging app"
4513,Lifespark Technologies Private Limited,Mumbai,CSIS/IT,1,Any,-,Yet to be finalized,Details awaited
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyB2,A1,B2","Description: the synthesis of silver nanoparticles and their formulation into a stable conductive ink for printed electronics applications. The study focuses on optimizing nanoparticle size, dispersion stability, ink rheology, and curing conditions to achieve high electrical conductivity and strong substrate adhesion. The developed ink will be tested by printing conductive patterns and evaluating their electrical, mechanical, and microstructural performance.Skill sets: Chemistry, Material science, Chemical EngineeringExpected learning:&nbsp;• Understanding the principles and methods of silver nanoparticle synthesis using chemical reduction techniques• Knowledge of surface stabilization mechanisms to prevent nanoparticle agglomeration• Skills in preparing stable nanoparticle dispersions with controlled particle size and rheology• Hands-on experience in formulating conductive inks and printing them on electronic substrates• Ability to evaluate electrical performance and practical applications of conductive inks in printed electronicsSpecific courses required for project execution:&nbsp;Chemistry, Material Science, Chemical Engineering",Material Science,Process development for Silver nanoparticles based conducting ink for electronic application
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyA4,AnyAB,A1,A4,AB","Description: Create a detailed plan and onboard customers for value added products of Nickel to improve the gross margin for the businessSkill sets: Data analysis, Market intelligence,&nbsp;Chemical applicationsExpected learning: Market research and analysis, nickel chemical industry understanding",Business Strategy,Value Added Product Market sizing and GTM strategy
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB","Description: Run smooth and effective operations for battery supply chain across India and manage multiple stakeholders for battery testing, quality reports and analysis. Streamlining end to end process. Onboarding new partners.Skill Sets: Good communication skills, understanding of EV BatteryExpected learning: Understanding of the Ev Battery supply chain and market, business operations, communicating with stakeholders, data analysis and reporting",Supply Chain Management,Business Operations for lithium-ion battery recycling
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyA4,AnyAB,A4,A1,AB","Identify and map potential domestic and international customersSegment leads by application, geography, and volume potentialCreate outreach plans and CRM-ready lead databasesSupport early-stage engagement and follow-up coordinationOutcome: A robust, qualified sales funnel aligned with business expansion goalsDevelopment of Scrap Tire and Raw Material Procurement Intelligence NetworkSkill sets: Market Research and analytics, business strategyExpected Learning: Industry and technical understanding for carbon business","Market Analysis,Business Strategy",Strategic Sales Pipeline Development for Tire Circular Products
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyA4,AnyAB,A1,A4,AB","Description: Benchmark major players in India and globally (e.g., Tyromer, Tinna Rubber, etc.) Analyze industry trends, policy shifts, EPR frameworks, and export-import dynamics Track technology adoption, pricing trends, and innovation in devulcanization, pyrolysis, and crumb rubber applications Outcome: Strategic market report to support leadership decision-making and investor presentationsSkill sets: Market research, analysis, analytics toolsExpected Learning: Industry and technical understanding for carbon business",Business Strategy,"Deliver strategic insights to inform positioning, product development, and investment planning."
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyA4,AnyAB,A1,A4,AB","Develop a techno-economic model for producing critical metals. - involving Financial modelling, CAPEX/OPEX modelling, Process optimisation across different production scales (lab, pilot, and commercial). Benchmarking global production methods and evaluate the economic feasibility of different routes.Skill sets: Data analysis, engineering fundamentals, techno-economic modeling, literature researchExpected learning: Understanding of industrial processes for metal production, process scale-up considerations, and building techno-economic models.",Business Strategy, Value Added Product Market sizing and GTM strategy
8567,LOHUM Cleantech Private Limited,Greater Noida,Finance and Mgmt,1,"AnyA1,AnyA4,AnyAB,A1,A4,AB","Description: Process design on lab scale then scale up experimentsSkill sets: Chemical/MetallurgyExpected learning: Process design, Scale up, Mass balance.",Business Strategy,Design and scale up for Lab scale projects 
